Content,Emotion_actual,Emotion_predicted
not funny,worry,worry
TO GO TO SLEEP WITH THE SOUND OF THE RAIN,neutral,worry
ew fml Should I pull an all nighter I think I m gon na have to again,worry,neutral
EMC s new site be different,surprise,worry
they don t use MSN either I don t think and they be thousands of miles away so can t do it face to face,worry,worry
request me on bbm amp send all ur contact info Everything didn t sync up from old phn I have ur tmail info haha DATED,neutral,worry
Thank you for the shout out when you get time to chat with me come back I miss you terribly,sadness,sadness
think 90 of the irish population of manchester have come to my house today yet none of them be the 1 person i want to see,worry,worry
hahaha thank for clear up the,happiness,neutral
there a way to quot stabalise quot a shaky video in post production I apparently have a very shaky hand,worry,neutral
my interview if pick be NY too But you probably forget about me after blogtalk radio,neutral,neutral
o its feel like a hot box and no matter where i go in here it still feel like a hot box ice cream isn t work n e more,worry,worry
be not go to be relax like I hop,worry,worry
do my life suck,sadness,sadness
happen about three weeks ago Why be there a serial card fraudster on the loose,happiness,worry
not know hot twitter work,surprise,worry
Unfortunately that s how it usually go In answer to yesterday I m okay Things may be look up Miss talk to you,surprise,worry
my right hear us block and it s so annoy what i i wake up deaf,surprise,worry
That hurt way worse than i think it would,surprise,worry
ohh ic ic haha iyaa my summer be fill with ONE Course that last for the whole summer,neutral,sadness
Oh I m so sorry I feel your pain I can t kill them either and I m always the one that find them Why be that,hate,sadness
ME oh wait wrong state,sadness,worry
I know,neutral,worry
to the copier machine today,neutral,worry
Wanted to visit the animals but we be too late,sadness,worry
all my record eqpmnts out a full day 2 myself and mind go blank outfit for G A Y still nt arrive eitha,sadness,sadness
day in Glasgow for a change and I m work Too much to do to even contemplate knock off early,empty,sadness
would of win that contest if I weren t to have chickened out,neutral,neutral
tea Mmm crispy but no cake Have headphones,love,neutral
I have to spend lot of our money on a new boiler great Not so lucky hey,surprise,worry
YoYo door nazis refuse me entry on account of no ID gutted Heard it be a good night tho Next time I ll come prepare,surprise,worry
well that s no way to start the day off,sadness,sadness
Tweeple Tomorrow will be day 25 at work,sadness,neutral
LONELY I AM SO LONELYY plz come back,worry,sadness
theatre next year stupid schedule,worry,worry
do i get my cat 2stop killin rabbit another headless baby rabbit n garden dis morn live close 2field wher lot rabbit live,neutral,worry
don t want to work tomorrow I don t feel good Haven t felt good in 4 days My body need rest but my mind win t slow down,worry,worry
well i just get home and its not on till tmw at 530p but with comcast its on right now but i didnt miss it,neutral,sadness
and get a pedicure and a manicure 2daii and den sunbathe all daii BEST DAY EVA oh yeh do a teeny bite of study,happiness,worry
French Open tennis sad to see Venus make an early exit this morning,love,sadness
Omg Beckky i love you you should ve win the 250G s i be rootin for you hows things go,sadness,neutral
that my bluetooth headset s battery out last my cell s battery Gg moto q,neutral,worry
day off back to work tomorrow,sadness,sadness
yikes that suck about the TV hopefully some animals in the wilderness between harstad and oslo be enjoy it,neutral,sadness
Good morning sis Alas it ll be time for me to say goodnight soon,love,neutral
Are you in Galbladia Garden That shit be hard,love,worry
be we busy ugh I have the largest headache,sadness,worry
get home ohh my ache feet but be happy to finally watch the giro,neutral,sadness
the noodles do the dishwasher really really warm i don t like it,empty,worry
full day of vacation,neutral,sadness
all weekend how thrill and i have to say bye to goshy on sunday cause she be leave for poland for 3 months,worry,sadness
be I have such a hard time fall asleep,worry,sadness
for my driver Hate to wait,hate,hate
bum like really bum i hate this rain ruin my date,hate,worry
YES I make the sign when i notice it miss on Sunday So far no luck It s now Unlucky Japanese Cat,worry,sadness
yay but u have no idea what you look like,neutral,worry
and you re on twitter Did the tavern bore you that much,neutral,worry
We re run out of things to tweet to you Wish we could get your reply Come to the Philippines TWEET,worry,sadness
bike faster than expect and we be run out of size Luckily the single speed be on the ocean now ETA EO June,happiness,worry
watch 18 y o britney on snl she s so young and cute and really funny i miss this britney,neutral,sadness
n o   t e x t,neutral,neutral
I can t yet back I ve run out of texts I ll ring you laters xoxo,sadness,worry
21month daughter s seperation anxiety be intense it s kill me i cant leave her sight without her break into an anxiety attack,neutral,worry
really cuz KC com say it be releasd 24 4 here n the main station doesn t even hav it,surprise,worry
bug be lame Got about an hours sleep if that,neutral,worry
HAVE A HEADACHE,worry,worry
SUN IS SHINING lt THE SKY IS FACKING BLUE lt TELETUBBIES I HAVE TO FUCKING WORK,hate,neutral
nauseous I need a yogurt or something,worry,worry
just saw a pony that use to live in front of my house again he s develop cushing s disease tho,neutral,worry
Tshwane want double rat but try and phone to get service endless loop fail,worry,worry
No Just sit around sculpt tiny koi,sadness,worry
town fair tire smell horrible Its make me sick,neutral,worry
vodafone wont repair my faulty Samsung Omnia due to non existent water damage grr,sadness,worry
be it so hard to find good house events in the Sacramento area,worry,worry
LoL Clever I m Extremely Jealous Of The Amount Of Followers You Have I Only Have 24,sadness,worry
day for seniors bye bff,sadness,worry
Can t No money to spend,worry,worry
You look nothing like your Twitter avatar,hate,neutral
day be rainy,neutral,sadness
get catch eat my Cadbury Temptations by the brother Last 6 piece go will get Bournville next time u have to earn it,worry,worry
ooh work im afarid look forward to a sunny weekeknd tho,worry,worry
be just watch some cartoon as I haven t in years when I be eat my breakfast the program have change,worry,sadness
do some physics revision x,neutral,neutral
under 100 followers again gosh darn good mood atm might have a bbq later heat waave lt 3,happiness,worry
That suck to hear I hate days like that,hate,hate
so gutted she can t get ticket for pink,hate,worry
poor butterfly be dead,worry,worry
visit si fr joemar dito bataan frm camiguin amp sum of my ofcmates amp i be suppose to meet him this saturday can t luwas,love,worry
can t wait to start my weekend I m so sick of work I have to self medicate and I m fresh out of herb,enthusiasm,sadness
throat and a headache start on a friday be not a good sign,worry,worry
be painfully slow today,anger,worry
forget to answer your kindle question yesterday honestly haven t use it much have two paperback book i want 2 read first,happiness,neutral
justin Eff,surprise,neutral
City Sirens be uber cool last night Wish I could have stay longer,sadness,sadness
please save the polar bear,worry,worry
so dizzy already and I m only on the third page of chapter 73 plop head,sadness,worry
to cancel wow for now,sadness,neutral
wiki project be go to have to wait another month But manager think I need load of time to prepare have halve my workload,worry,worry
a spider above my bed calm my fear by listen to green day lt 3,worry,sadness
actually the web work fine tweetdeck seem to be the culprit sadness it s do this at two diff locations,sadness,neutral
awaisnaseer I have mail for something you get the e mail I didn t which should probly mean I win t get it,surprise,worry
What a morning It s be non stop amp I need coffee Stayed up late last night try to get todays work do Didn t work,worry,worry
read tabloids about other people s live think what I m gon na do with mine when my baby leave,worry,worry
whats up im sad you didnt text today,worry,sadness
sick,sadness,worry
my room,empty,worry
train turn into a microwave,hate,neutral
n o   t e x t,neutral,neutral
Lindsay we be your spanish fansite and we love you ww ultimatelohan org please reply us I wish you good luck,love,sadness
that no matter how good my hair look curly it doesn t justify the burn I get from the curler My hand cover I suck at it,worry,worry
you internet Its be down all night,hate,worry
Omg I get no sleep again Neighbors be build a deck amp they ve be start 5 00am I m SO tire Feel like I just take Benadryl,sadness,worry
from take Nick home a little lighter in pocket after be flash by a speed camera,relief,neutral
start rain in earnest guess golf be off for today,sadness,neutral
plan to not spend money be not go well,worry,worry
sad about miss out on the opportunity to be in valencia s new video,sadness,sadness
computer be be really slow especially on type,worry,sadness
I never like that boy Jerms,hate,worry
i cant watch stadium music,sadness,neutral
whatcha read,neutral,neutral
be offer Fred on loan but I have no moniieess,sadness,worry
my poor tank friend his guild be fuck him over after promise him main OT he barely even get to go now _,sadness,worry
will never eat broadway pizza again feelin ill,worry,sadness
O noes lt 3 Nathan say he d wear the tie to the rally If you miss that,love,sadness
a bad day,worry,sadness
Tati I send you an emal doll do you get it,neutral,neutral
one week leave of my holiday sad sad,sadness,sadness
in the fridge,neutral,neutral
cool dude yeah i be hop your rate be still 2 75 lol yeah not sure when ill mar and par for my birthday dinner,happiness,neutral
go to have one upset daughter in a bite mr Rat take a sudden turn for the worse and didn t make it,worry,worry
need a present for my mom Could anybody help me,neutral,worry
home isn t all great,neutral,worry
tire always cold and always have a headache cant wait for vacashun and the frickin g1 update i want onscreen keyboard dammit,worry,worry
hate the new mt dew commercial the one with a giant mosquito it scar me and gross me out all at the same time,hate,sadness
be a very bad night,sadness,worry
hope i can find a store to take us,fun,worry
dad s be have fever since last nite and need 2 bottle of blood trasfusion load 1 today 1 to go tomorrow,worry,worry
everyone else get all the good stuff,fun,neutral
link isn t work,sadness,neutral
a crazy night lose key walk home miss my papi s call from the swizzy I m sad,sadness,worry
You never answer your DM I send you I need your info,worry,neutral
I ve be unlock for decades now just not lucky never have be Got ta make my own luck and that involve,worry,sadness
and you only respond to ddlovato that be not your fan,empty,sadness
ready for the theatre but I don t seem to like any of my clothe at the moment I Might just wear what I ve be wear all day,neutral,worry
sad My cheap little camcorder just shoot crap,worry,worry
get off to try and catch some Z s no more high school after tomorrow which really suck i wish i didn t have to grow up,hate,worry
the shortest line ever at FCB Tunapuna then the tellers disappear,worry,worry
a lot of moneey,neutral,worry
for my lack of tweet ive be buzy new vid this saturday,worry,sadness
n o   t e x t,neutral,neutral
Well I ll have lemon and ranch for you Not for me though,neutral,worry
to get motivate to go downtown to meet with my girl friends Kinda dont want to but I always cancel,worry,sadness
finish exams amp home not watch Otalia amp the PBP on BPD no Otalia today hmm via,sadness,worry
good to hear Just in time for the weekend I ll be work though,relief,worry
I get a math test today,worry,neutral
i havent lay my verse yet,neutral,worry
Poor Beautiful Girl Went in for new tire and inspection sticker Now there s a 590 repair and still no tire,sadness,worry
not good at all,sadness,worry
miss jay leno,worry,worry
hate get put on steroids my face,sadness,hate
I m afraid not much I just realize the true difficulty of this design I may cry soon idmfinal,surprise,worry
miss the concert Tuesday already I d really like a time machine to go see it again It be so fun,happiness,worry
to be too macabre but its hard to believe we drop a real nuclear weapon on real japanese humans warisfucked,sadness,sadness
miss my boo on another note im soready for this game to come on tonight fox grill anyone,sadness,worry
day be not end as nicely as it begin,sadness,worry
limit exceed on filaty,neutral,worry
up to the farm dont want to i wan na stay here and talk with my boyfriend STUPID MOM FOR MAKING ME GO UP gt lt,sadness,worry
i want to but im not over 18 and t amp c say over 18 s only wan na make an exception for me,worry,worry
Gutted you win t be on live office girls anymore,sadness,worry
have a life change redhead she get away,neutral,sadness
not impossible,sadness,sadness
im so jealous i want an octo drive,sadness,neutral
head be kill me i keep sneeze and i think my boyfriend fell asleep greaat,sadness,worry
I want a massage,happiness,worry
I be not a pussy damnit send you an e mail right now btw,hate,neutral
home Tp tetep kurang 3BT buat shoot kamis nih Huaa stress gila Syapa lg ya,relief,worry
ohh that make sense then 8D and i need to reread the lotr trilogy i lose the three book a long time ago and i m sad,worry,sadness
Man I miss this truck so much have to return it cause it be 687 00 a month and 236 00 ins a month on it,neutral,worry
sleep I need to go to my mums but by the time I get there Clara will be in bed,sadness,sadness
off to a fun fill even at a funeral home Joy,sadness,worry
Should have grab some on the way to work,neutral,worry
ready for school second maths test today also its my last day of 3rd year Next week i will officially be in 4th year,happiness,worry
good time Rocking out open mic thank 4 all the love n support Now work on Business plan presentation No CG again 2nite,love,love
umm how bout em aint get 2 see da game but i see dey survive anotha game of da series due to notin but Lebron im guessin,empty,neutral
at la bootay wheres the warm weather at,enthusiasm,worry
i miss you goodnight,love,worry
Work tomorrow,neutral,neutral
computer at work be not work boo need a new one TGIF,sadness,sadness
soo lose without my car This be truly depress Pregnant people should NEVER be this stress out,sadness,worry
the origami box I just make look like a strawberry should I be allow to teach,relief,neutral
I MISS U,sadness,sadness
just get it cut yesterday,empty,neutral
to put my dog down tomorrow,sadness,worry
My man its like 3 30 in NJ I have class to worry about again,worry,worry
that suck,sadness,sadness
to go to work typical sunshine and deep sleep stupid friday,hate,worry
i m in bed sick atm be sick since yesterday hru hun,sadness,sadness
ancient iPod be near death,worry,worry
think Ive bugger up my mobile ack I be a stubborn arse and refuse to get a new one,sadness,worry
Heavens not good I can empathise Fingers cross it doesn t come to anything and you can sleep easy Wishing for the best,worry,worry
Mudweight haul in for last time by,neutral,worry
get to look for a job this weekend,neutral,worry
really despair over the whole copyright situation be visually impair mean you don t deserve to read sccr18,sadness,worry
the shoot calmin down,worry,worry
food since wake up,worry,worry
me too I hate my computer so much,hate,hate
hahaha tempt but nvm la i m quite a klutz i actually fare better with my hp cam LOL,fun,happiness
finish listen to Last Days of Krypton s audio book Loved it so sad though,love,sadness
don t we close the library due to the great weather And the ac isn t work fb,sadness,worry
why not its the most retard thing someone could do at their 16th and you know me I like to be retard 8,fun,worry
Ohh how I miss the Brunch,sadness,worry
vs fat food winner fat food but not this weeknend ill beat it,surprise,worry
to work My last day Get to walk around and out process I be very happy to be one step closer to what I really want to do but 2,happiness,sadness
my work computer now my home laptop be fuck,sadness,sadness
n o   t e x t,sadness,neutral
I miss I m sorry for be able to call you when u already sleep I love you Have a great trip tomorrow Send my to them,sadness,sadness
oh noo if i blow a tire you re reaally go to have to send up some batman smoke,neutral,neutral
1 of Lie To Me be serious Damn now here come the wait,sadness,worry
how come its for us now to win ms twitter world be it not work for you,neutral,neutral
be some guy so stupid They have no idea what to do with a good girl who actually care about them so sad,sadness,sadness
MARRY ME lt 3 have fun party tonight have a drink for me if only i be 18 i wud come there just to see you,love,worry
special sau probabil un alt weekend pierdut,worry,neutral
i m not party tonight,surprise,worry
I want to come over,worry,neutral
out to Vicki MOM who just hit a deer in her Stage 3 Roush,worry,worry
move back home today pro obnoxiously closer to con no more mpls run excursions for at least a year,sadness,worry
do i have to wake up so early goddam 7 30 on my last day off bummer,happiness,sadness
don t any of my friends ever miss me why do 40 year old pervs like me why can t I be a shape shifter,worry,worry
want it to rain today Like full thunderstorm style But it probably win t,enthusiasm,worry
at work too much email in my inbox,surprise,worry
sunny morning in the Big K with lawns to mow and a 2 mile to run to attempt urgh,sadness,worry
think june gloom have arrive,sadness,worry
i really hate that medicine,hate,hate
just saw 22nd of June and it make me think of Jenny I miss her so much,worry,worry
I could do with another one now myself be back to work on Monday after be off for 7 weeks not good,neutral,neutral
upset I leave my phone at home again,sadness,worry
stick inside when its so nice outside,worry,happiness
be dread shop for a swimsuit,neutral,neutral
lol y be it really gross i m HUNGRY and theres nothin to have,worry,worry
haha thank for clarify that i think u mean mr bello I wish i could be there That where my cousins live,happiness,sadness
pain with paginate ASP NET ListView control,sadness,sadness
could get worse or could it if it do i think id be on the verge of kill myself or someone else things be not good anymore,sadness,worry
LOL well these girls didnt And my girl make me tip the lady and she put her boobies in my face,worry,worry
it It s do already This be one proof that there s nothing fair in this world,sadness,neutral
try be my height in small cars not much fun specially on bumbpy country roads haha,worry,worry
doesn t move forward because we keep repeat our past sigh,worry,sadness
internetz be busy this Friday morning Google Wave Hulu Desktop Microsoft s Bing Tweetie Update and Megan Fox as Wonder Woman,neutral,worry
watch the quot Final Break quot final prison break episode It be great Farewell Prison Break You will be dearly miss,happiness,worry
portuguese national library could use it also Right now they seem to be stick somewhere circa 1995 Example,neutral,neutral
wont work on my mob,neutral,worry
car get steal sometime between yesterday even and this morning when husband be due to go to work Like we can afford this,sadness,worry
this be get to me,neutral,worry
just vacuum my entire house three time Screw all vacuum,fun,worry
you get some sexy pics girl Love the eyebrow pierce I use to have a ton of pierce now I only have my ears lol,love,sadness
Effy break my heart,worry,sadness
27 probably on monday i still need more comment,sadness,worry
headache,neutral,worry
Since obviously live in Alaska only a few radio station we get here,neutral,neutral
sensors don t seem to want to last for more than 3 1 2 days,neutral,worry
its really hot today already and its not even noon yet i want ice water,surprise,worry
the time we get back up to grizzly peak with cameras to capture the sea of fog we be above it already engulf everything,surprise,sadness
include myself guess umma be party alone yet again lol,worry,worry
Random have an a,neutral,neutral
Driving Back home because I forget the piece of cake for,neutral,neutral
morning from RSA Twitterverse Please send me some happy vibes amp cheerfulness today I m feel a little sad,happiness,worry
I hear your move to Sydney next year im not happy,worry,worry
get to work Today be go to be another long ass day,hate,worry
curse firewall proxy server restrictions it will have to wait until I get home,neutral,worry
sole supporter be not my sole supporter,worry,worry
suck i m tweetless and i f n hate money why do it have to be an issue,hate,hate
oh no i be always here lt 3,worry,sadness
dont think my twitpic be work,worry,worry
i do i only get 3 star on the pre wash then fail the rince,neutral,worry
be so jelz I want a house gt,sadness,worry
awake wonder about contact info for all of the fun folks I hang out with at the shop YAY 23b Miss you guy,happiness,sadness
bore wait for class to start Sigh midterms next week gt _ lt,worry,worry
goodbye to a good trust friend today Goodbye free Sky TV you be the best friend anyone could have have,sadness,worry
need to get away I wish I have money to go travel for a bite I miss my east coast friends,worry,worry
Grr We don t finish until July 3rd,hate,worry
brandon Wanting to talk to anthony Sadshoes,worry,worry
so sorry to hear that I lose two hard drive this year I know the feel,sadness,worry
what sun,surprise,neutral
head hurt,worry,worry
up from bad dream grr,hate,worry
like wake up slow in the morning Docs appt today,sadness,worry
enjoy this cold raininy Boston day I think my new metal back doesn t like get wet,worry,sadness
to recover photos after a problem between Windows and my XD card Result shots be all half visible damn Microsoft,hate,worry
Weather suck up here,sadness,sadness
sun have go in,surprise,neutral
home Could really have do without bang my head on the way into the bus,sadness,sadness
God create man i also believe he create a million people to get on ya tits for a laff,empty,worry
why her Karma point turn into 0 00,sadness,neutral
swine flu be in robina gold coast,neutral,worry
when you re already burn wear mums shoe as well and now im all blister it suck ball,hate,sadness
relly1 Hopfully a quiet one home No cash to do anything Then u come 2 the pub 2moz 2 watch the Pups,worry,neutral
soo confuse,worry,neutral
eastcoaster1237 Doh I m an inside job LOLzor,happiness,neutral
throat Planning the TET out to Marwell though good time,empty,worry
doesn t Rob tweet anymore,worry,worry
Haha yeah It be here and there before but now it s constant,neutral,neutral
I m sowwy It suck I know I ve be there Yay for half days though,worry,neutral
freak tire It s like my body refuse to move,sadness,worry
he could be talk to me he s probably not though,sadness,worry
i cant even catch public transport swine flu be shit house,worry,worry
thru the videos in my multiply and i saw the video u sing with my bf i miss you N we all miss you pls come back wherever u r,sadness,sadness
have an ice coffee Christ that taste nasty,happiness,sadness
hungry but can t eat anything right now because my tongue hurt so bad,sadness,worry
that suck,sadness,sadness
work on work but it s not work,neutral,neutral
i don t like to see you like this there must be something to make you smile,worry,worry
I wish I be in va too,sadness,sadness
miss have nothing to do except lay out beside the pool every day of the summer That be much better than spend all day in class,love,sadness
school again This time cuz im sick,worry,worry
get hurt 4 days before nationals what a joke,worry,worry
dream about my prince charm tonight n see if everything go back to normal I really hope so lt 3,surprise,worry
haha I actually have it here but it win t hook up to the internet,neutral,neutral
time I wish I be a teenager again I wish I could feel healthy again I can t remember what it s like to feel healthy anymore,worry,worry
out wats wrong with her she can drink but cant eat,worry,worry
it goin back to bed ill just go tomorrow kinda sad,sadness,sadness
shit I forget to eat Grumble grumble,worry,worry
n o   t e x t,neutral,neutral
the Grove for Drag Me to Hell I hope that it doesn t suck,worry,sadness
nothing to do,neutral,neutral
a dreary day in LA Where do all our sunshine go,surprise,worry
Re meet you be right My afternoon have start to fill up,neutral,neutral
free trial run out today can not subscribe because Abby accidentally cancel my card still wait for a new one,sadness,worry
will it not let me change my background im twitter challenge,surprise,worry
back home in tallcree rez now i cant see my boyfriend,sadness,neutral
servers be down at work for at least 3 hours Want to go home now,worry,worry
How inconsiderate,empty,worry
miss chat with you,happiness,sadness
that sound yummy Does it take quite a few almonds to get the amount you need Nuts be expensive,worry,neutral
my ds just die whatta letdown,sadness,sadness
lose my voice what should i do it s very torture,sadness,worry
n o   t e x t,sadness,neutral
slowly reallizing how this burn I get at work 5 hours ago really suck,sadness,worry
of Jericho please come to WORCESTER asap Candace pleeaassee Why do Flee the Seen call it quit whyy,neutral,worry
I m sorry at least it s Friday,sadness,sadness
ayoko na I say that in tagalog cuz idk what to do anymore,enthusiasm,worry
not sleep a wink last night X,worry,worry
oh great,love,worry
too busy at work today it be interferring with socialize,sadness,worry
you don t wan na see me while you re here,sadness,worry
Your video be set to private,worry,neutral
want more followers,neutral,worry
be terrible,worry,neutral
hardly some of my furniture be be ship from who know where and be backordered I may cancel and shop local,sadness,worry
OH SILENCE VERONA I AM WANTING TO GO jaja enjoyyitverymuch and bring me phothos of Danny and dougie,happiness,worry
I have fun tonight I ll leave you with this Brandi Carlile will be in Dallas today We should just sneak into the show,relief,sadness
i don t even know what sport social enterprise mean,empty,worry
too bad i dont have either,worry,sadness
to Di Bella coffee roasters today and ask for a job The person I need to speak to be on holiday fb,worry,worry
don t do very good at funerals Crying be way 2 contagious for me,worry,worry
how about we start with a true Franchise online mode Dynasty be huge Madden online league not so much,happiness,worry
love it Really its simple i think of a word and put twi on the front i should be more clever,neutral,love
my leave knee somehow last night hurt to walk,worry,worry
for desktop twitter app that will actually let you access URLs any suggestions I like Twittle but no link,neutral,neutral
please save the polar bear,worry,worry
i wish things could go back to the way they be the begin of last summer,sadness,worry
im allergic to cat my tonsils get swell and they hurt what do i doo,worry,worry
and guess what ive get 20 wow its impossible,happiness,worry
I think I m gon na fail aswel,worry,worry
me too bb,neutral,neutral
want a new mountain bike,neutral,worry
i ve be wake up with the sun in my face but not today,neutral,neutral
I know He didn t ask me,neutral,worry
I know lame,sadness,worry
pick up her Blackberry from the middle of the street Both she and it be crush,worry,worry
weekend aboutto SUCK,boredom,sadness
work wellness challenge not go well I commit to not check email between 10 pm and 6 be Failed on first day Twice,worry,worry
TweetDeck be languish in API Hell Again,hate,neutral
What would you know about pack You re make poor Lauren do it all,worry,worry
FollowFriday In honor of my web buddies who move warpdesign cianan BigToach,fun,neutral
soo tire want to crawl back into bed,worry,sadness
my friends and plav time for a long day of work hahah,sadness,worry
gon na fail this test miserably in history,sadness,worry
And Alyssa s mom would bring her subway,sadness,worry
very undervalue and neglect Not even the sunshine be pull me out this lul,worry,worry
forget she have soccer today ugh today be actually good too,love,neutral
ur right i dont have a reason to be up early but im sure my niece will be in my room in a few hrs botherin me,neutral,worry
anything to sell an album poor thing,worry,neutral
drool I still need to 100 the first one,worry,neutral
Hi Who be Mary Poppins,neutral,worry
Friday Oh wait I m work TOMORROW,fun,sadness
oh me still hasn t get around to start it,worry,worry
too early I m afraid op to take screw out week Tuesday The family will go off I ll me look fir that Guinness,worry,worry
crowdsourcing fail,worry,sadness
to mug for Chinese A s but doesn t feel like it,neutral,worry
It do it sometimes it should come back And the car thing suck I feel all anxious and yucky now,worry,sadness
just find out she doesn t get to take lunch now but rather in an hour Hello delivery,worry,neutral
3 hours leave until a 3 day weekend and I have waay too much work to do,worry,worry
I might be a lil slow what do quot FF quot mean,neutral,worry
in damn cod4 system link My map pack isnt work,worry,worry
one year today Luc Bourdon be kill doesn t seem that long ago,surprise,worry
MM BTW I be just talk to you amp you be go 2 95,neutral,neutral
come when i straighten my hair it have to sprinkle,worry,sadness
Too much detail But glad he be better,worry,worry
be go to be a long day,worry,worry
Morning I have load to do 2day goin for a walk 1st to get rid of last nites haribo s,worry,worry
where be you In Bris I can t hear any thunder,surprise,worry
only hav 8 followers,sadness,worry
sick gt lt feel shitty whole body ache Hope I get well before boo boo s grad show sigh,worry,worry
ha just find a new cocktail Dances with Wenches Cranberry Juice Spiced Rum sound nice but I don t have any cranberry juice,surprise,sadness
on homework,neutral,worry
eff tire,sadness,neutral
you be on mii shit list Permanent mii dude,sadness,neutral
I m incline to think it s stupid,hate,sadness
I HELLA forget to say my official good morning Like to hear it Here it go Good Morrning Twitterville Lol,happiness,worry
I wasn t give an exact date but it shouldn t be much longer Please accept our apologies for the inconvenience,worry,worry
BACK OH NOES have you miss me Work have be insane and the band have really take off so i haven t have a moment to myself,sadness,sadness
get a bruise on my foot out if nowhere it hurt,worry,sadness
What s wrong with her,worry,worry
from lunch and it s pour rain ugh ohh well at least it get me into a Death Cab For Cutie mood,sadness,worry
no Poor bear i just have a nightmare i wrestle a huge snake and win,sadness,sadness
a bummer that tomorrow be friday again,love,sadness
jp1983 You burn yourself too So do ohh no xoxo,worry,worry
to be on client site no donut today,neutral,worry
to figure out how to use Twitter I m old,worry,neutral
hot Station isn t pack but train pack No windows open on train Roasted sardines,hate,worry
so nice to be back on bike commute although three days off and my what google sez be call my quadriceps literally scream gah,happiness,worry
video be not available to us foreigners,neutral,neutral
action shoot I miss work a pole,sadness,worry
I think you re pretty I m sorry they make you feel bad,love,worry
gon na try and fall asleep goodnight More like morn I sleeP,happiness,worry
long walk in the heat I hate this,sadness,hate
NOO,neutral,worry
I have an interruption in service on my phone so I miss everything on Tuesday morning,worry,sadness
cash and look for trade can t find any,neutral,neutral
don t you agree,neutral,worry
say ca be take more tax out of my check,sadness,worry
sorry be only in spanish for the moment,sadness,worry
I would be there But I live across the country,worry,neutral
bore,sadness,sadness
no but I will It just seem such a cruel condition,worry,sadness
get orthodontist today,surprise,worry
it s Friday Things be go to be so different start next week my house will be empty,relief,worry
dean_b BF gig in Portland OR That s not drive distance to come save me from Burbank I stick ATM Working on plan B,worry,worry
